iter	RMSE
0	11133.71955
1	10317.99908
2	9564.317781
3	8986.377203
4	8410.749716
5	7905.984828
6	7501.330122
7	7081.413739
8	6769.015076
9	6473.239904
10	6212.000428
11	5972.988953
12	5783.999099
13	5620.702345
14	5491.271282
15	5351.8829
16	5260.462904
17	5167.833348
18	5096.583967
19	5034.624046
20	4960.988396
21	4909.892802
22	4863.105915
23	4825.44369
24	4793.45361
25	4763.596523
26	4726.090099
27	4709.14391
28	4689.243095
29	4668.201962
30	4650.682284
31	4632.639338
32	4617.484079
33	4605.631723
34	4596.153485
35	4588.169653
36	4578.678713
37	4572.216619
38	4566.322715
39	4555.51952
40	4547.457308
41	4535.761524
42	4529.602007
43	4525.604936
44	4520.585839
45	4516.499976
46	4506.910624
47	4503.023448
48	4496.514519
49	4484.62388
50	4478.759393
51	4474.046542
52	4470.775672
53	4466.891132
54	4464.458123
55	4461.954228
56	4458.290313
57	4453.605487
58	4449.046843
59	4447.090731
60	4444.646784
61	4441.002149
62	4433.546447
63	4431.612653
64	4428.127837
65	4425.882931
66	4423.264974
67	4420.074158
68	4417.558803
69	4412.33445
70	4410.545033
71	4406.120857
72	4402.872147
73	4400.349321
74	4396.371808
75	4392.476007
76	4388.298544
77	4387.55637
78	4383.087154
79	4380.743421
80	4379.220057
81	4377.212345
82	4376.298822
83	4373.876275
84	4372.394487
85	4370.907935
86	4362.877188
87	4361.559746
88	4359.680593
89	4354.434324
90	4352.032408
91	4348.805158
92	4347.59872
93	4344.276404
94	4343.199916
95	4342.71262
96	4340.870259
97	4338.278794
98	4334.200241
99	4330.820725
