athlete_id,firstname,lastname,country,birthday,gender,paraclimbing_sport_class,height,speed_personal_best_score,speed_personal_best_date,speed_personal_best_round
1,Arno,DIMMLER,GER,1967-01-01,male,,,,,
2,Maxi,KLAUS,GER,1972-08-04,male,,,,,
3,Markus,ZÖLL,GER,1968-06-17,male,,,,,
30,Alexei,KOZLOV,RUS,,male,,,,,
31,Alexandre,MINAEV,RUS,1968-04-09,male,,,,,
32,Alexei,SHALYGIN,RUS,,male,,,,,
33,Alexander,SISINTSEV,RUS,1971-06-30,male,,,,,
36,Dmitrii,BYCHKOV,RUS,1978-06-09,male,,,,,
37,Jury,KRASILNIKOV,RUS,,male,,,,,
38,Vladimir,NETSVETAEV-DOLGALEV,RUS,1970-04-09,male,,,,,
39,Mayya,PIRATINSKAYA,RUS,1977-04-06,female,,,20.83,2008-07-13,Qualification
40,Natalia,TITOVA,RUS,1978-09-05,female,,,8.96,2012-09-02,Final
41,Olga,BIBIK,RUS,1976-09-26,female,,,,,
42,Tatiana,RUYGA,RUS,1978-05-11,female,,,,,
43,Yulia,ABRAMCHUK,RUS,1982-10-21,female,,,,,
44,Olga,IAKOVLEVA,RUS,1983-03-03,female,,,,,
45,Valentina,YURINA,RUS,1985-05-25,female,,,10.89,2012-07-13,Qualification
46,Anna,STENKOVAYA,RUS,1984-10-10,female,,,10.84,2009-04-26,Final
47,Vasily,KOZLOV,RUS,1987-01-11,male,,,24.42,2010-06-21,Qualification
48,Sergei,SINITCYN,RUS,1983-06-04,male,,,6.32,2013-10-20,Final
49,Evgeniia,MALAMID,RUS,1987-04-24,female,,,,,
50,Tatiana,SHEMULINKINA ,RUS,1987-07-27,female,,,,,
51,Alexander,KOSTERIN,RUS,1986-08-13,male,,,8.98,2008-07-13,Final
52,Alexander,PESHEKHONOV,RUS,1979-03-13,male,,,11.48,2008-07-13,Qualification
53,Dmitrii,SHARAFUTDINOV,RUS,1986-09-16,male,,,21.66,2008-11-02,Final
54,Anatoly,SKRIPOV,RUS,1987-09-02,male,,,20.17,2008-04-27,Qualification
55,Ekaterina,KIPRIIANOVA,RUS,1989-08-22,female,,,13.37,2018-07-13,Qualification
56,Evgenii,VAITSEKHOVSKII,RUS,1986-05-12,male,,,5.88,2012-10-13,Final
57,Stanislav,LOBZOV,RUS,1984-08-30,male,,,32.26,2008-11-02,Qualification
58,Yana,CHERESHNEVA,RUS,1989-02-09,female,,,21.67,2008-08-31,Final
59,Alexander,STEPANOV,RUS,1990-04-30,male,,,12.59,2009-08-30,Final
60,Rustam,GELMANOV,RUS,1987-12-06,male,,,,,
