event_id,name,start_date,end_date,location,category
65,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,20/8/20,22/8/20,Briançon,World Cup
70,IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,24/2/20,2/3/20,Los Angeles,Continental
72,IFSC Europe - Continental Youth Cup (B) - Soure (POR) 2020 - CANCELLED,6/11/20,8/11/20,Soure,Continental
85,"IFSC Europe - Continental Cup (L,S) - Belgrad (SRB) 2020 - CANCELLED",13/8/20,16/8/20,Belgrad,Continental
87,"IFSC Europe - Continental Youth Championships (B,L,S) - Perm (RUS) 2020 - POSTPONED",21/10/20,28/10/20,Perm,Continental
100,UIAA Worldcup - Wien 1991,25/4/91,26/4/91,W-Wi,World Cup
101,UIAA Worldcup - Clusone 1991,29/8/91,30/8/91,W-Cl,World Cup
102,UIAA Worldcup - Innsbruck 1991,19/9/91,20/9/91,W-In,World Cup
103,UIAA World Championship - Frankfurt 1991,1/10/91,2/10/91,WM-F,World Championship
104,UIAA Worldcup - Tokio 1991,15/10/91,16/10/91,W-To,World Cup
105,UIAA Worldcup - Nürnberg 1991,30/10/91,31/10/91,W-Nü,World Cup
106,UIAA Worldcup - Birmingham 1991,4/12/91,5/12/91,W-Bi,World Cup
113,UIAA Worldcup - Zürich 1992,30/4/92,1/5/92,W-Zü,World Cup
114,UIAA Worldcup - Kobe 1992,7/10/92,8/10/92,W-Ko,World Cup
115,UIAA Worldcup - Nürnberg 1992,29/10/92,30/10/92,W-Nü,World Cup
116,UIAA Worldcup - St. Pölten 1992,13/11/92,14/11/92,W-Pö,World Cup
117,UIAA Worldcup - Laval 1992,19/11/92,20/11/92,W-La,World Cup
118,UIAA Worldcup - Birmingham 1992,10/12/92,11/12/92,W-Bi,World Cup
119,UIAA Youth Worldchampionship - Basel 1992,26/2/92,27/2/92,J-WM,World Championship
120,UIAA European Championship - Frankfurt 1992,17/9/92,18/9/92,EM-F,Continental
121,Masters Chambery 1992,29/1/92,30/1/92,M-Ch,Other
122,Masters Serre Chevalier 1992,20/7/92,21/7/92,M-Se,Other
123,UIAA Masters - Rock Masters Arco 1992,31/8/92,1/9/92,M-Ar,Other
124,UIAA Worldcup - Frankfurt 1993,1/4/93,2/4/93,W-Fr,World Cup
125,UIAA World Championship - Innsbruck 1993,29/4/93,30/4/93,WM-I,World Championship
126,UIAA Worldcup - Zürich 1993,14/5/93,15/5/93,W-Zü,World Cup
127,UIAA Worldcup - Toulon 1993,27/5/93,28/5/93,W-To,World Cup
128,UIAA Worldcup - Black See 1993,26/8/93,27/8/93,W-Bu,World Cup
129,UIAA Worldcup - Nürnberg 1993,4/11/93,5/11/93,W-Nü,World Cup
130,UIAA Worldcup - Laval 1993,9/12/93,10/12/93,W-La,World Cup
131,Jeux de Pyrinae - Ainsa 1993,20/5/93,21/5/93,M-Py,Other
132,Masters Serre-Chevalier 1993,21/7/93,22/7/93,M-Se,Other
133,UIAA Masters - Rock Masters Arco 1993,10/9/93,11/9/93,M-Ar,Other
134,UIAA Worldcup - Villach 1994,15/4/94,16/4/94,W-Vi,World Cup
135,UIAA Worldcup - Moscow 1994,28/4/94,29/4/94,W-Mo,World Cup
137,UIAA Worldcup - Aix-les-Bains 1994,17/11/94,18/11/94,W-Ai,World Cup
138,UIAA Worldcup - Birmingham 1994,25/11/94,26/11/94,W-Bi,World Cup
139,UIAA Youth Worldchampionship - Leipzig 1994,21/10/94,22/10/94,94-JWM,World Championship
140,UIAA Masters - Serre Chevalier 1994,20/7/94,21/7/94,M-Se,Other
141,UIAA Masters - L'Argentiere 1994,27/7/94,28/7/94,M-LA,Other
142,UIAA Masters - Rock Masters Arco 1994,9/9/94,10/9/94,M-Ar,Other
143,UIAA Worldcup - Frankfurt 1995,6/4/95,7/4/95,W-Fr,World Cup
144,UIAA Worldcup - Moscow 1995,21/10/95,22/10/95,W-Mo,World Cup
145,UIAA Worldchampionchip - Genève 1995,5/5/95,6/5/95,WM-G,World Championship
146,UIAA Worldcup - Birmingham 1995,24/11/95,25/11/95,W-Bi,World Cup
147,UIAA Worldcup - Aix-les-Bains 1995,7/12/95,8/12/95,W-Ai,World Cup
148,UIAA Youth Worldchampionship - Laval 1995,5/10/95,6/10/95,95JWM,World Championship
149,UIAA Masters - Serre Chevalier 1995,28/7/95,29/7/95,M-Se,Other
150,UIAA Bouldering Masters - L'Argentier 1995,6/8/95,7/8/95,M-LA,Other
151,UIAA Masters - Rock Masters Arco 1995,9/9/95,10/9/95,M-Ar,Other
152,UIAA Worldcup - Ekaterinburg 1996,18/9/96,19/9/96,W-Ekaterinburg,World Cup
153,UIAA Worldcup - Kranj 1996,23/11/96,24/11/96,W-Kranj,World Cup
154,UIAA Worldcup - Graz 1996,14/12/96,15/12/96,W-Graz,World Cup
155,European Championship - Paris 1996,27/1/96,28/1/96,EmPa,Continental
156,European Youth Cup - Dortmund (GER) 1996,7/6/96,8/6/96,E-Dortmund,Continental
157,European Youth Cup - Ravenna (ITA) 1996,28/6/96,29/6/96,E-Ravenna,Continental
158,European Youth Cup - Skofja Loka (SLO) 1996,13/9/96,14/9/96,E-Skofja Loka,Continental
159,European Youth Cup - Bern (SUI) 1996,27/9/96,28/9/96,E-Bern,Continental
160,European Youth Cup - Prag (CZE) 1996,25/10/96,26/10/96,E-Prag,Continental
161,"UIAA Masters - ESPN X-Games - Newport, USA 1996",24/6/96,25/6/96,ESPN,Other
162,UIAA Masters - Serre Chevalier 1996,24/7/96,25/7/96,M-Se,Other
163,UIAA Masters - Rock Masters Arco 1996,6/9/96,7/9/96,M-Ar,Other
164,UIAA World Championchip - Paris 1997,31/1/97,1/2/97,WM,World Championship
165,UIAA Worldcup - Courmayeur 1997,4/9/97,5/9/97,W-Co,World Cup
166,UIAA Worldcup - Prag 1997,23/10/97,24/10/97,W-Pr,World Cup
167,UIAA Worldcup - Kranj 1997,8/11/97,9/11/97,W-Kr,World Cup
168,UIAA Worldcup - Imst 1997,21/11/97,22/11/97,W-Im,World Cup
169,UIAA Worldcup - Birmingham 1997,28/11/97,29/11/97,W-Bi,World Cup
170,UIAA Youth Worldchampionship - Imst (AUT) 1997,13/11/97,14/11/97,JWM,World Championship
171,European Youth Cup - Bolzano (ITA) 1997,3/5/97,4/5/97,E-Bolzano,Continental
172,European Youth Cup - Dortmund (GER) 1997,31/5/97,1/6/97,E-Dortmund,Continental
173,European Youth Cup - Chocen (CZE) 1997,28/6/97,29/6/97,E-Chocen,Continental
174,European Youth Cup - Bern (SUI) 1997,23/8/97,24/8/97,E-Bern,Continental
175,European Youth Cup - Parma (ITA) 1997,20/9/97,21/9/97,E-Parma,Continental
176,"UIAA Masters - San Diego X-Games, USA 1997",22/6/97,23/6/97,X-Gam,Other
177,UIAA Masters - Serre Chevalier 1997,26/7/97,27/7/97,M-Se,Other
