event_id,name,start_date,end_date,location
65,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,2020-08-20,2020-08-22,Briançon
70,IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,2020-02-24,2020-03-02,Los Angeles
72,IFSC Europe - Continental Youth Cup (B) - Soure (POR) 2020 - CANCELLED,2020-11-06,2020-11-08,Soure
85,"IFSC Europe - Continental Cup (L,S) - Belgrad (SRB) 2020 - CANCELLED",2020-08-13,2020-08-16,Belgrad
87,"IFSC Europe - Continental Youth Championships (B,L,S) - Perm (RUS) 2020 - POSTPONED",2020-10-21,2020-10-28,Perm
100,UIAA Worldcup - Wien 1991,1991-04-25,1991-04-26,W-Wi
101,UIAA Worldcup - Clusone 1991,1991-08-29,1991-08-30,W-Cl
102,UIAA Worldcup - Innsbruck 1991,1991-09-19,1991-09-20,W-In
103,UIAA World Championship - Frankfurt 1991,1991-10-01,1991-10-02,WM-F
104,UIAA Worldcup - Tokio 1991,1991-10-15,1991-10-16,W-To
105,UIAA Worldcup - Nürnberg 1991,1991-10-30,1991-10-31,W-Nü
106,UIAA Worldcup - Birmingham 1991,1991-12-04,1991-12-05,W-Bi
113,UIAA Worldcup - Zürich 1992,1992-04-30,1992-05-01,W-Zü
114,UIAA Worldcup - Kobe 1992,1992-10-07,1992-10-08,W-Ko
115,UIAA Worldcup - Nürnberg 1992,1992-10-29,1992-10-30,W-Nü
116,UIAA Worldcup - St. Pölten 1992,1992-11-13,1992-11-14,W-Pö
117,UIAA Worldcup - Laval 1992,1992-11-19,1992-11-20,W-La
118,UIAA Worldcup - Birmingham 1992,1992-12-10,1992-12-11,W-Bi
119,UIAA Youth Worldchampionship - Basel 1992,1992-02-26,1992-02-27,J-WM
120,UIAA European Championship - Frankfurt 1992,1992-09-17,1992-09-18,EM-F
121,Masters Chambery 1992,1992-01-29,1992-01-30,M-Ch
122,Masters Serre Chevalier 1992,1992-07-20,1992-07-21,M-Se
123,UIAA Masters - Rock Masters Arco 1992,1992-08-31,1992-09-01,M-Ar
124,UIAA Worldcup - Frankfurt 1993,1993-04-01,1993-04-02,W-Fr
125,UIAA World Championship - Innsbruck 1993,1993-04-29,1993-04-30,WM-I
126,UIAA Worldcup - Zürich 1993,1993-05-14,1993-05-15,W-Zü
127,UIAA Worldcup - Toulon 1993,1993-05-27,1993-05-28,W-To
128,UIAA Worldcup - Black See 1993,1993-08-26,1993-08-27,W-Bu
129,UIAA Worldcup - Nürnberg 1993,1993-11-04,1993-11-05,W-Nü
130,UIAA Worldcup - Laval 1993,1993-12-09,1993-12-10,W-La
